DATA,REPL,NRET,MTHD,BIPA,BIPB,BRLN,BRLN_MAP_GT,BRLN_MLE_GT,BRLN_MLE_RI,Q1,Q2,Q3,EN,PP
5taxa,10,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.011358,0.011414,0.011423,0.011358,0.340905,0.329193,0.329901,60025.500000,0.999848
5taxa,11,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.012396,0.012464,0.012473,0.012396,0.341597,0.329930,0.328473,60043.000000,0.999967
5taxa,11,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.008745,0.008775,0.008783,0.008745,0.339163,0.330814,0.330023,60064.000000,0.995804
5taxa,12,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.005130,0.005134,0.005143,0.005130,0.336753,0.331174,0.332073,60045.500000,0.892273
5taxa,12,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.007956,0.007979,0.007988,0.007956,0.338637,0.327394,0.333969,60080.500000,0.982653
5taxa,13,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.012799,0.012872,0.012881,0.012799,0.341865,0.326957,0.331177,60067.500000,0.999980
5taxa,13,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.007295,0.007313,0.007321,0.007295,0.338196,0.333406,0.328398,60009.500000,0.973583
5taxa,14,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.015047,0.015151,0.015159,0.015047,0.343363,0.328552,0.328085,60019.500000,1.000000
5taxa,14,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.010219,0.010262,0.010271,0.010219,0.340146,0.328994,0.330861,59990.500000,0.999264
5taxa,15,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.006347,0.006358,0.006367,0.006347,0.337564,0.328674,0.333761,59953.000000,0.936320
5taxa,15,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.013552,0.013635,0.013644,0.013552,0.342367,0.329016,0.328617,60106.500000,0.999995
