DATA,REPL,NRET,MTHD,BIPA,BIPB,BRLN,BRLN_MAP_GT,BRLN_MLE_GT,BRLN_MLE_RI,Q1,Q2,Q3,EN,PP
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN","TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM","TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL","TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",inf,0.287682,inf,inf,1.000000,0.000000,0.000000,1.000000,0.666667
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK","TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ","TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI","TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH","TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonG,TaxonH","TaxonF,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonG,TaxonH","TaxonE,TaxonF,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",inf,0.287682,inf,inf,1.000000,0.000000,0.000000,1.000000,0.666667
26taxa,5,10,astral-bp,"TaxonA,TaxonE,TaxonF,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonB,TaxonC,TaxonD,TaxonG,TaxonH",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonE,TaxonF,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonC,TaxonD,TaxonG,TaxonH",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonC,TaxonD",inf,0.287682,inf,inf,1.000000,0.000000,0.000000,1.000000,0.666667
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonG,TaxonH",inf,0.287682,inf,inf,1.000000,0.000000,0.000000,1.000000,0.666667
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV","TaxonW,TaxonX,TaxonY,TaxonZ",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonZ","TaxonW,TaxonX,TaxonY",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,10,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonX,TaxonZ","TaxonW,TaxonY",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonU,TaxonV",inf,1.540445,inf,inf,1.000000,0.000000,0.000000,6.000000,0.998174
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT","TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",inf,2.233592,inf,inf,1.000000,0.000000,0.000000,13.000000,0.999999
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT",inf,0.847298,inf,inf,1.000000,0.000000,0.000000,2.500000,0.919623
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonQ,TaxonR,TaxonS,TaxonT",0.567143,0.287682,0.693147,0.567143,0.666667,0.333333,0.000000,3.000000,0.666667
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonS,TaxonT",inf,1.416147,inf,inf,1.000000,0.000000,0.000000,5.181818,0.995522
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonQ,TaxonR",inf,0.934309,inf,inf,1.000000,0.000000,0.000000,2.818182,0.942308
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonM,TaxonN,TaxonO,TaxonP",inf,0.510826,inf,inf,1.000000,0.000000,0.000000,1.500000,0.784813
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonN,TaxonO,TaxonP",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonO,TaxonP",inf,0.287682,inf,inf,1.000000,0.000000,0.000000,1.000000,0.666667
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL","TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",inf,0.810930,inf,inf,1.000000,0.000000,0.000000,2.375000,0.908602
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonI,TaxonJ,TaxonK,TaxonL",inf,0.882389,inf,inf,1.000000,0.000000,0.000000,2.625000,0.929390
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonJ,TaxonK,TaxonL",nan,0.000000,nan,nan,nan,nan,nan,0.000000,0.333333
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonK,TaxonL",inf,0.693147,inf,inf,1.000000,0.000000,0.000000,2.000000,0.866667
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH","TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.000000,0.000000,0.000000,0.000000,0.285714,0.571429,0.142857,1.000000,0.303480
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonG,TaxonH","TaxonF,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.441047,0.158148,0.522083,0.441047,0.604478,0.305970,0.089552,2.481481,0.572318
26taxa,5,50,astral-bp,"TaxonA,TaxonC,TaxonD","TaxonB,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.567143,0.025318,0.693147,0.567143,0.666667,0.000000,0.333333,1.105263,0.492377
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonC,TaxonD",0.474198,0.077962,0.566395,0.474198,0.621622,0.378378,0.000000,1.608696,0.508998
26taxa,5,50,astral-bp,"TaxonA,TaxonC,TaxonD,TaxonF,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonB,TaxonE,TaxonG,TaxonH",0.252350,0.045846,0.281251,0.252350,0.496774,0.380645,0.122581,2.719298,0.467881
26taxa,5,50,astral-bp,"TaxonA,TaxonC,TaxonD,TaxonE,TaxonF,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonB,TaxonG,TaxonH",0.247290,0.000000,0.275103,0.247290,0.493671,0.265823,0.240506,1.795455,0.441754
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonG,TaxonH",0.295347,0.015038,0.334202,0.295347,0.522727,0.431818,0.045455,1.913043,0.448058
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV","TaxonW,TaxonX,TaxonY,TaxonZ",inf,0.287682,inf,inf,1.000000,0.000000,0.000000,1.000000,0.666667
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonZ","TaxonW,TaxonX,TaxonY",inf,0.980829,inf,inf,1.000000,0.000000,0.000000,3.000000,0.952381
26taxa,5,50,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonY,TaxonZ","TaxonW,TaxonX",inf,0.287682,inf,inf,1.000000,0.000000,0.000000,1.000000,0.666667
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonU,TaxonV",inf,2.079442,inf,inf,1.000000,0.000000,0.000000,11.000000,0.999992
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT","TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",inf,2.908721,inf,inf,1.000000,0.000000,0.000000,26.500000,1.000000
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT",0.990438,0.773190,1.299283,0.990438,0.818182,0.181818,0.000000,5.500000,0.957077
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonQ,TaxonR,TaxonS,TaxonT",0.877684,0.635989,1.134980,0.877684,0.785714,0.214286,0.000000,4.666667,0.909056
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonS,TaxonT",inf,1.696449,inf,inf,1.000000,0.000000,0.000000,7.181818,0.999501
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonQ,TaxonR",inf,1.650987,inf,inf,1.000000,0.000000,0.000000,6.818182,0.999256
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonM,TaxonN,TaxonO,TaxonP",inf,1.220502,inf,inf,1.000000,0.000000,0.000000,4.083333,0.985147
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonO,TaxonP",0.925125,0.441833,1.203973,0.925125,0.800000,0.000000,0.200000,2.500000,0.772296
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonM,TaxonN",0.567143,0.105361,0.693147,0.567143,0.666667,0.333333,0.000000,1.500000,0.535898
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL","TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",inf,1.689481,inf,inf,1.000000,0.000000,0.000000,7.125000,0.999469
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonI,TaxonJ,TaxonK,TaxonL",0.846182,0.598531,1.089310,0.846182,0.775701,0.224299,0.000000,4.458333,0.891124
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonJ,TaxonK,TaxonL",0.359565,0.000000,0.415515,0.359565,0.560000,0.440000,0.000000,1.136364,0.430372
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonK,TaxonL",2.497112,0.664976,3.444682,2.497112,0.978723,0.000000,0.021277,2.043478,0.859031
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH","TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.404451,0.242562,0.473784,0.404451,0.584906,0.264151,0.150943,4.416667,0.666025
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonC,TaxonD",0.770953,0.432864,0.980829,0.770953,0.750000,0.250000,0.000000,3.111111,0.777620
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonE,TaxonF,TaxonG,TaxonH","TaxonC,TaxonD,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.182568,0.055099,0.198142,0.182568,0.453165,0.364557,0.182278,4.388889,0.466696
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonE,TaxonG,TaxonH","TaxonC,TaxonD,TaxonF,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.677309,0.431576,0.847298,0.677309,0.714286,0.259740,0.025974,3.850000,0.793465
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonE,TaxonH","TaxonC,TaxonD,TaxonF,TaxonG,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.275163,0.109845,0.309188,0.275163,0.510638,0.395745,0.093617,3.730159,0.508243
26taxa,5,100,astral-bp,"TaxonA,TaxonC,TaxonD,TaxonF,TaxonG,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonB,TaxonE,TaxonH",0.587771,0.134774,0.721721,0.587771,0.676056,0.000000,0.323944,1.613636,0.555521
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonF,TaxonG,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonE,TaxonH",0.276804,-0.000000,0.311213,0.276804,0.511628,0.465116,0.023256,1.869565,0.430957
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV","TaxonW,TaxonX,TaxonY,TaxonZ",inf,1.203973,inf,inf,1.000000,0.000000,0.000000,4.000000,0.983740
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonZ","TaxonW,TaxonX,TaxonY",inf,1.540445,inf,inf,1.000000,0.000000,0.000000,6.000000,0.998174
26taxa,5,100,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonY,TaxonZ","TaxonW,TaxonX",inf,0.287682,inf,inf,1.000000,0.000000,0.000000,1.000000,0.666667
26taxa,5,500,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonU,TaxonV",inf,3.597312,inf,inf,1.000000,0.000000,0.000000,53.750000,1.000000
26taxa,5,500,astral-bp,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT","TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",inf,4.404685,inf,inf,1.000000,0.000000,0.000000,121.750000,1.000000
