NRET,NREP,BIPA,BIPB,BRLN_TRUE,AVG_BRLN_MAP_GT,STD_BRLN_MAP_GT,NREPL_EGTT_MAP_GT,AVG_AERR_MAP_GT,STD_AERR_MAP_GT,AVG_PERR_MAP_GT,STD_PERR_MAP_GT,AVG_BRLN_MLE_GT,STD_BRLN_MLE_GT,NREPL_EGTT_MLE_GT,AVG_AERR_MLE_GT,STD_AERR_MLE_GT,AVG_PERR_MLE_GT,STD_PERR_MLE_GT,AVG_BRLN_MLE_RI,STD_BRLN_MLE_RI,NREPL_EGTT_MLE_RI,AVG_AERR_MLE_RI,STD_AERR_MLE_RI,AVG_PERR_MLE_RI,STD_PERR_MLE_RI,AVG_Q1,AVG_Q2,AVG_Q3,AVG_EN,AVG_PP,STD_Q1,STD_Q2,STD_Q3,STD_EN,STD_PP
10,19,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",3.0872,0.659246,0.0,0,2.427954,0.0,78.6458279346981,0.0,1.3437350000000001,0.0,18,1.743465,0.0,56.47398937548588,0.0,1.020834,0.0,18,2.0663660000000004,0.0,66.93333765224152,0.0,0.9908466842105264,0.009153315789473685,0.0,2.0639097894736844,0.8046507894736842,0.0388342299904724,0.03883422999047244,0.0,1.1107931741217307,0.15577132947117972
50,25,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",3.0872,1.7155550000000002,0.22884456187290095,0,1.3716450000000002,0.22884456187290098,44.43006607929516,7.4126898766811635,3.2566720000000005,0.5872461576970939,23,0.4918552,0.36284607032040467,15.93208084996113,11.75324145894029,2.3655885999999997,0.4308105997008894,20,0.7216114,0.4308105997008895,23.374300336874835,13.954735673130651,0.9939817999999999,0.00452288,0.00149532,9.80668256,0.9995062800000001,0.013979567967573244,0.009969454241110693,0.007325542004357084,2.44241815036145,0.0013682616276136687
100,25,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",3.0872,2.3335608571428574,0.1450143256484176,0,0.753639142857143,0.1450143256484176,24.41173694147263,4.69727667946416,3.7294328571428577,0.6792500532192899,25,0.6422328571428572,0.67925005321929,20.80308555140118,22.002139583418305,2.716984857142857,0.5180580705763256,19,0.5814748571428573,0.2594810339903358,18.83502387739237,8.40506070194143,0.99467124,0.0027992,0.00252956,20.14480948,1.0,0.009681785014262615,0.007278559395924444,0.0070755778397527365,3.120596169409289,0.0
500,25,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",3.0872,3.559260083333333,0.28742637005746313,24,0.48513474999999984,0.26476199656204596,15.714393301373407,8.576120645311153,4.4351476666666665,0.6620437519488841,25,1.3479476666666663,0.6620437519488841,43.662466528461586,21.444796318634495,3.253256,0.512850742955898,16,0.4483895833333332,0.29922777485483587,14.5241507946791,9.692529633805254,0.99066112,0.004644919999999999,0.004693800000000001,97.85757148,1.0,0.006444888364091331,0.004039471865677493,0.004523234258801991,7.774085923406122,0.0
1000,25,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",3.0872,3.9370300400000002,0.32151656412079055,25,0.84983004,0.32151656412079055,27.527534335320027,10.414503890929986,4.5290714,0.761722601959007,25,1.4418713999999997,0.761722601959007,46.70482637989116,24.67357482375638,3.32749808,0.6096341641820885,13,0.39863775999999995,0.5200816452172315,12.912599118942728,16.84638653852136,0.99133472,0.0040744,0.00459084,199.27725391999996,1.0,0.0039396859115416625,0.0032259679725626543,0.002718184006722135,11.315511639473762,0.0
5000,25,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",3.0872,4.24943712,0.2579309260018766,25,1.1622371199999997,0.2579309260018766,37.64696553511271,8.354849896406991,4.3645358,0.2925564479300362,25,1.2773358,0.2925564479300362,41.375220264317164,9.476433270602364,3.19276684,0.22648506246632333,16,0.18426467999999985,0.16877905359509981,5.968666753044826,5.46705926389932,0.9911723599999999,0.00435812,0.004469600000000001,998.2794047199999,1.0,0.0023679051818854525,0.0015258779851613303,0.0015097346256875742,27.167304774587873,0.0
10000,25,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",3.0872,4.25620364,0.18016360899690695,25,1.16900364,0.18016360899690695,37.86614537444933,5.835825634779312,4.31120208,0.19028204923553252,25,1.22400208,0.19028204923553252,39.647644467478614,6.16358024214604,3.15085108,0.14637921276627225,18,0.12825683999999996,0.09501850824157569,4.154471365638765,3.0778215937281574,0.9908916399999999,0.00462076,0.00448752,1992.92678572,1.0,0.0017464626392797607,0.0009954605478872582,0.000991470791097751,39.10207531083881,0.0
50000,25,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",3.0872,4.25162,0.06421027229844145,25,1.1644199999999998,0.06421027229844145,37.71767297227261,2.07988702702907,4.2621146,0.0648743710671633,25,1.1749146,0.0648743710671633,38.057612075667265,2.101398389063336,3.1125707200000003,0.049725832249662746,19,0.047078159999999904,0.02999964461880175,1.5249468774293826,0.9717428290619897,0.9905848800000001,0.004702840000000001,0.00471232,10014.80485716,1.0,0.0006316466303242786,0.0003564889541065754,0.0004190184454173825,81.20351115374112,0.0
100000,25,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",3.0872,4.24762888,0.05689309641094944,25,1.16042888,0.05689309641094944,37.588393366157035,1.842870446065997,4.25283032,0.05718873770015904,25,1.1656303199999998,0.05718873770015904,37.75687742938584,1.8524468029333712,3.1054286399999995,0.04386146965242273,17,0.042089119999999945,0.02201403674807505,1.3633428349313275,0.713074525397611,0.9905018,0.0047399600000000005,0.00475828,20061.70285712,1.0,0.000548657926216343,0.0003945214295827287,0.00028576137177722244,79.45722227695671,0.0
10,13,"aptHaa,aptOwe,aptRow,casCas,droNov,eudEle,galGal,notPer,rheAme,rhePen,strCam","cryCin,tinGut",1.15143,,,0,,,,,,,13,,,,,,,13,,,,,1.0,0.0,0.0,1.3153846153846156,0.6935682307692308,0.0,0.0,0.0,0.8917106756084524,0.17775831273785278
50,24,"aptHaa,aptOwe,aptRow,casCas,droNov,eudEle,galGal,notPer,rheAme,rhePen,strCam","cryCin,tinGut",1.15143,0.6147670625,0.4340173950004004,4,0.6075376874999999,0.32753040456759863,52.76375354993356,28.445533342678118,1.2408763125000002,0.8782458441769536,16,0.6100158125000001,0.638119984120465,52.978975057102915,55.4197809784759,0.94711,0.6228177208116352,12,0.504991875,0.41788967675809413,43.85780073473854,36.29310307687781,0.8345804583333334,0.08612304166666666,0.07929654166666666,4.378240708333333,0.8544368749999999,0.16218855858279563,0.10691013717544873,0.11950675079884927,1.8801335017927912,0.16178044290934152
100,25,"aptHaa,aptOwe,aptRow,casCas,droNov,eudEle,galGal,notPer,rheAme,rhePen,strCam","cryCin,tinGut",1.15143,0.9836024999999999,0.353326168297889,10,0.3336176818181818,0.20421726993224784,28.97420440827335,17.735969180258273,1.4637947272727274,0.570074868022548,17,0.4859877272727273,0.43170940102733474,42.2073184885514,37.493325779885424,1.1008197727272726,0.3967932739151037,12,0.3238085909090909,0.23484951305534493,28.122299306869795,20.396334389007144,0.8416302,0.08070008,0.0776698,8.92133332,0.97156864,0.11285390479908082,0.09066915421020313,0.06719469391015931,2.454908834067216,0.08061859683416972
