MODL,NRET,MTHD,THRC,AVG_FN,AVG_FP,AVG_FNR,AVG_FPR,STD_FN,STD_FP,STD_FNR,STD_FPR,SE_FN,SE_FP,SE_FNR,SE_FPR,NREP
26taxa,50,astrid-bp,0.0,7.0,7.0,0.30434782608695654,0.30434782608695654,2.0199009876724157,2.0199009876724157,0.08782178207271372,0.08782178207271372,0.4039801975344831,0.4039801975344831,0.017564356414542744,0.017564356414542744,25
26taxa,50,astral-bp,0.0,7.96,7.96,0.34608695652173915,0.34608695652173915,2.181375712709757,2.181375712709757,0.09484242229172857,0.09484242229172857,0.43627514254195143,0.43627514254195143,0.018968484458345713,0.018968484458345713,25
26taxa,50,mdc-bp,0.0,8.32,8.32,0.36173913043478256,0.36173913043478256,1.8701871564097536,1.8701871564097536,0.08131248506129363,0.08131248506129363,0.3740374312819507,0.3740374312819507,0.016262497012258726,0.016262497012258726,25
26taxa,50,mdc-bp-ur,0.0,9.48,2.16,0.4121739130434783,0.1373109243697479,1.6521501142450707,1.22245654319489,0.07183261366282916,0.07425912782750163,0.3304300228490141,0.244491308638978,0.01436652273256583,0.014851825565500326,25
26taxa,100,parsimony-strict,0.0,7.12,1.88,0.3095652173913043,0.09930089260584615,2.045873896407108,1.4510685717773644,0.08895103897422206,0.0714891871035424,0.4091747792814216,0.2902137143554729,0.01779020779484441,0.014297837420708481,25
26taxa,100,camin-sokal-strict,0.0,7.12,1.76,0.3095652173913043,0.09742921251435183,1.84,1.335065541462291,0.08,0.07457547744788888,0.368,0.26701310829245817,0.016,0.014915095489577776,25
26taxa,100,dollo-strict,0.0,7.56,1.96,0.32869565217391306,0.10901068848592069,1.4718695594379279,1.3108775686539151,0.06399432867121427,0.07052486702288173,0.29437391188758555,0.262175513730783,0.012798865734242854,0.014104973404576346,25
26taxa,100,astrid-bp,0.0,5.04,5.04,0.21913043478260869,0.21913043478260869,1.5869467539901898,1.5869467539901898,0.0689976849560952,0.0689976849560952,0.317389350798038,0.317389350798038,0.013799536991219042,0.013799536991219042,25
26taxa,100,astral-bp,0.0,5.76,5.76,0.2504347826086956,0.2504347826086956,1.6560193235587561,1.6560193235587561,0.07200084015472853,0.07200084015472853,0.33120386471175123,0.33120386471175123,0.014400168030945706,0.014400168030945706,25
26taxa,100,mdc-bp,0.0,6.04,6.04,0.26260869565217393,0.26260869565217393,1.5869467539901898,1.5869467539901898,0.0689976849560952,0.0689976849560952,0.317389350798038,0.317389350798038,0.013799536991219042,0.013799536991219042,25
26taxa,100,mdc-bp-ur,0.0,7.04,2.6,0.3060869565217391,0.1401797877045555,1.684755175092215,1.2,0.07325022500400935,0.06588558190623517,0.336951035018443,0.24,0.01465004500080187,0.013177116381247033,25
26taxa,500,parsimony-strict,0.0,3.12,1.16,0.1356521739130435,0.05335717422673945,1.36586968631711,1.1551623262554922,0.05938563853552651,0.053017936934931585,0.273173937263422,0.23103246525109844,0.011877127707105303,0.010603587386986317,25
26taxa,500,camin-sokal-strict,0.0,1.92,1.08,0.08347826086956521,0.04845812158855636,1.5210522673465234,1.197330363767661,0.06613270727593581,0.053398469320430186,0.3042104534693047,0.2394660727535322,0.013226541455187164,0.010679693864086038,25
26taxa,500,dollo-strict,0.0,3.16,1.84,0.1373913043478261,0.08332830098962822,1.6656530250925612,1.488086019019062,0.07241969674315483,0.06678201608386312,0.3331306050185122,0.2976172038038124,0.014483939348630967,0.013356403216772625,25
26taxa,500,astrid-bp,0.0,1.64,1.64,0.07130434782608695,0.07130434782608695,1.162067123706716,1.162067123706716,0.050524657552465914,0.050524657552465914,0.2324134247413432,0.2324134247413432,0.010104931510493183,0.010104931510493183,25
26taxa,500,astral-bp,0.0,1.92,1.92,0.08347826086956521,0.08347826086956521,1.4945233353815524,1.4945233353815524,0.06497927545137183,0.06497927545137183,0.29890466707631047,0.29890466707631047,0.012995855090274367,0.012995855090274367,25
26taxa,500,mdc-bp,0.0,2.4,2.4,0.10434782608695653,0.10434782608695653,1.3856406460551018,1.3856406460551018,0.060245245480656594,0.060245245480656594,0.27712812921102037,0.27712812921102037,0.012049049096131319,0.012049049096131319,25
26taxa,500,mdc-bp-ur,0.0,2.56,2.28,0.11130434782608695,0.10079051383399211,1.4987995196156156,1.2812493902437574,0.06516519650502677,0.05718808957369562,0.2997599039231231,0.2562498780487515,0.013033039301005352,0.011437617914739125,25
26taxa,1000,parsimony-strict,0.0,1.52,0.72,0.06608695652173913,0.03188142292490118,0.9431860898041277,0.7756287771866126,0.04100809086104903,0.03396003267758864,0.18863721796082553,0.15512575543732252,0.008201618172209806,0.006792006535517728,25
26taxa,1000,camin-sokal-strict,0.0,1.0,0.64,0.043478260869565216,0.027991718426501038,0.6928203230275509,0.6248199740725323,0.0301226227403283,0.0272734232402385,0.13856406460551018,0.12496399481450646,0.00602452454806566,0.0054546846480477,25
26taxa,1000,dollo-strict,0.0,1.8,1.52,0.0782608695652174,0.06648221343873519,1.0954451150103324,1.1356055653262713,0.04762804847871009,0.04962601310826794,0.21908902300206648,0.22712111306525426,0.009525609695742019,0.009925202621653587,25
26taxa,1000,astrid-bp,0.0,0.76,0.76,0.03304347826086956,0.03304347826086956,0.7631513611335565,0.7631513611335565,0.03318049396232854,0.03318049396232854,0.1526302722267113,0.1526302722267113,0.0066360987924657085,0.0066360987924657085,25
26taxa,1000,astral-bp,0.0,0.88,0.88,0.03826086956521739,0.03826086956521739,0.9086253353280438,0.9086253353280438,0.039505449362088864,0.039505449362088864,0.18172506706560876,0.18172506706560876,0.007901089872417773,0.007901089872417773,25
26taxa,1000,mdc-bp,0.0,0.64,0.64,0.027826086956521737,0.027826086956521737,0.7939773296511684,0.7939773296511684,0.03452075346309427,0.03452075346309427,0.1587954659302337,0.1587954659302337,0.006904150692618854,0.006904150692618854,25
26taxa,1000,mdc-bp-ur,0.0,0.64,0.64,0.027826086956521737,0.027826086956521737,0.7939773296511684,0.7939773296511684,0.03452075346309427,0.03452075346309427,0.1587954659302337,0.1587954659302337,0.006904150692618854,0.006904150692618854,25
26taxa,5000,parsimony-strict,0.0,0.28,0.24,0.012173913043478262,0.010434782608695651,0.44899888641287294,0.4270831300812525,0.01952169071360317,0.01856883174266315,0.08979977728257459,0.0854166260162505,0.003904338142720634,0.00371376634853263,25
