MODL,NRET,MTHD,THRC,AVG_FN,AVG_FP,AVG_FNR,AVG_FPR,STD_FN,STD_FP,STD_FNR,STD_FPR,SE_FN,SE_FP,SE_FNR,SE_FPR,NREP
26taxa,10,astral-bp,0.5,17.12,0.92,0.7443478260869566,0.1393333333333333,1.2432216214336043,0.744043009509531,0.0540531139753741,0.11138149188574319,0.24864432428672084,0.1488086019019062,0.01081062279507482,0.02227629837714864,25
26taxa,50,astral-bp,0.5,9.24,2.04,0.4017391304347826,0.1286358543417367,1.7269626515938323,1.3108775686539151,0.07508533267799271,0.08195829804228716,0.3453925303187665,0.262175513730783,0.015017066535598542,0.016391659608457433,25
26taxa,100,astral-bp,0.5,6.84,2.24,0.29739130434782607,0.1206189493341196,1.803995565404749,1.1056219968868204,0.07843458980020648,0.05623831727683595,0.3607991130809498,0.22112439937736408,0.015686917960041298,0.01124766345536719,25
26taxa,500,astral-bp,0.5,2.6,1.36,0.11304347826086956,0.06243714028153387,1.6,1.2289833196589772,0.06956521739130435,0.05528800349078394,0.32,0.24579666393179544,0.01391304347826087,0.011057600698156787,25
26taxa,1000,astral-bp,0.5,1.24,0.4,0.05391304347826087,0.018323357801618673,1.1412274094149684,0.565685424949238,0.0496185830180421,0.02657775228105336,0.22824548188299368,0.1131370849898476,0.009923716603608421,0.005315550456210672,25
26taxa,5000,astral-bp,0.5,0.12,0.04,0.005217391304347826,0.0017391304347826085,0.32496153618543844,0.19595917942265426,0.014128762442845147,0.008519964322724097,0.06499230723708768,0.03919183588453085,0.0028257524885690294,0.0017039928645448195,25
26taxa,10000,astral-bp,0.5,0.04,0.0,0.0017391304347826085,0.0,0.19595917942265428,0.0,0.008519964322724097,0.0,0.03919183588453086,0.0,0.0017039928645448195,0.0,25
26taxa,50000,astral-bp,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,astral-bp,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,10,astral-bp,0.6,17.12,0.92,0.7443478260869566,0.1393333333333333,1.2432216214336043,0.744043009509531,0.0540531139753741,0.11138149188574319,0.24864432428672084,0.1488086019019062,0.01081062279507482,0.02227629837714864,25
26taxa,50,astral-bp,0.6,10.24,1.08,0.4452173913043479,0.08084598734598736,1.8391302292116238,0.9346657156438337,0.07996218387876625,0.07096038828647512,0.36782604584232476,0.18693314312876674,0.01599243677575325,0.014192077657295025,25
26taxa,100,astral-bp,0.6,7.72,1.16,0.3356521739130434,0.06998641210870313,1.5879546593023366,0.9666436778875658,0.06904150692618855,0.05735113794126791,0.31759093186046733,0.19332873557751315,0.013808301385237708,0.01147022758825358,25
26taxa,500,astral-bp,0.6,3.08,0.72,0.13391304347826086,0.03545411307855782,1.6228370220080635,0.7756287771866126,0.07055813139165493,0.03795284093891876,0.3245674044016127,0.15512575543732252,0.014111626278330985,0.007590568187783751,25
26taxa,1000,astral-bp,0.6,1.6,0.16,0.06956521739130435,0.007605244996549344,1.2961481396815722,0.36660605559646714,0.05635426694267704,0.017537067028755984,0.25922962793631443,0.07332121111929343,0.011270853388535408,0.0035074134057511966,25
26taxa,5000,astral-bp,0.6,0.2,0.0,0.008695652173913044,0.0,0.4000000000000001,0.0,0.017391304347826087,0.0,0.08000000000000002,0.0,0.0034782608695652175,0.0,25
26taxa,10000,astral-bp,0.6,0.04,0.0,0.0017391304347826085,0.0,0.19595917942265428,0.0,0.008519964322724097,0.0,0.03919183588453086,0.0,0.0017039928645448195,0.0,25
26taxa,50000,astral-bp,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,astral-bp,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,10,astral-bp,0.7,21.0,0.0,0.9130434782608695,0.0,0.7483314773547883,0.0,0.03253615118933864,0.0,0.14966629547095767,0.0,0.006507230237867728,0.0,25
26taxa,50,astral-bp,0.7,14.08,0.08,0.6121739130434782,0.009444444444444445,1.4119490075778234,0.2712931993250107,0.06138908728599232,0.03208784239598589,0.2823898015155647,0.054258639865002144,0.012277817457198465,0.006417568479197178,25
26taxa,100,astral-bp,0.7,9.84,0.32,0.42782608695652175,0.02378471528471528,1.5147276983009188,0.46647615158762407,0.06585772601308343,0.03500860858801745,0.3029455396601838,0.09329523031752482,0.013171545202616685,0.00700172171760349,25
26taxa,500,astral-bp,0.7,3.84,0.24,0.16695652173913042,0.012832866479925304,1.6414627622946552,0.4270831300812524,0.07136794618672414,0.02294109598241137,0.328292552458931,0.08541662601625048,0.014273589237344828,0.004588219196482274,25
26taxa,1000,astral-bp,0.7,2.04,0.12,0.08869565217391305,0.005866114561766735,1.2483589227461789,0.32496153618543844,0.05427647490200777,0.015980075239095986,0.24967178454923578,0.06499230723708768,0.010855294980401555,0.0031960150478191974,25
26taxa,5000,astral-bp,0.7,0.48,0.0,0.020869565217391303,0.0,0.574108003776293,0.0,0.024961217555490998,0.0,0.1148216007552586,0.0,0.0049922435110982,0.0,25
26taxa,10000,astral-bp,0.7,0.12,0.0,0.005217391304347826,0.0,0.32496153618543844,0.0,0.014128762442845147,0.0,0.06499230723708768,0.0,0.0028257524885690294,0.0,25
26taxa,50000,astral-bp,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,astral-bp,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,10,astral-bp,0.8,21.0,0.0,0.9130434782608695,0.0,0.7483314773547883,0.0,0.03253615118933864,0.0,0.14966629547095767,0.0,0.006507230237867728,0.0,25
26taxa,50,astral-bp,0.8,14.72,0.08,0.64,0.009444444444444445,1.2812493902437574,0.2712931993250107,0.05570649522798945,0.03208784239598589,0.2562498780487515,0.054258639865002144,0.01114129904559789,0.006417568479197178,25
26taxa,100,astral-bp,0.8,11.04,0.12,0.48,0.009743589743589744,1.28,0.32496153618543844,0.05565217391304347,0.026406522016288184,0.256,0.06499230723708768,0.011130434782608695,0.005281304403257637,25
26taxa,500,astral-bp,0.8,4.96,0.2,0.2156521739130435,0.011164086687306502,1.5094369811290564,0.4,0.06562769483169811,0.022391770944542068,0.3018873962258113,0.08,0.013125538966339622,0.004478354188908414,25
26taxa,1000,astral-bp,0.8,2.72,0.08,0.11826086956521738,0.004222222222222222,1.217209924376235,0.2712931993250107,0.0529221706250537,0.01433979182657927,0.24344198487524701,0.054258639865002144,0.01058443412501074,0.002867958365315854,25
26taxa,5000,astral-bp,0.8,0.8,0.0,0.03478260869565217,0.0,0.5656854249492381,0.0,0.024595018476053825,0.0,0.11313708498984762,0.0,0.004919003695210765,0.0,25
26taxa,10000,astral-bp,0.8,0.28,0.0,0.012173913043478262,0.0,0.448998886412873,0.0,0.01952169071360317,0.0,0.0897997772825746,0.0,0.003904338142720634,0.0,25
26taxa,50000,astral-bp,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,astral-bp,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,10,astral-bp,0.9,22.24,0.0,0.9669565217391305,0.0,0.5122499389946279,0.0,0.022271736478027295,0.0,0.10244998779892558,0.0,0.004454347295605459,0.0,25
26taxa,50,astral-bp,0.9,16.64,0.0,0.7234782608695651,0.0,1.0910545357588686,0.0,0.04743715372864646,0.0,0.21821090715177371,0.0,0.009487430745729292,0.0,25
26taxa,100,astral-bp,0.9,13.0,0.0,0.5652173913043478,0.0,1.2649110640673518,0.0,0.05499613322031964,0.0,0.25298221281347033,0.0,0.010999226644063928,0.0,25
26taxa,500,astral-bp,0.9,5.96,0.0,0.2591304347826087,0.0,1.45547243189282,0.0,0.06328141008229654,0.0,0.291094486378564,0.0,0.012656282016459307,0.0,25
26taxa,1000,astral-bp,0.9,3.76,0.0,0.16347826086956524,0.0,1.1056219968868204,0.0,0.04807052160377479,0.0,0.22112439937736408,0.0,0.009614104320754959,0.0,25
26taxa,5000,astral-bp,0.9,1.16,0.0,0.050434782608695654,0.0,0.463033476111609,0.0,0.020131890265722128,0.0,0.0926066952223218,0.0,0.004026378053144425,0.0,25
26taxa,10000,astral-bp,0.9,0.48,0.0,0.020869565217391303,0.0,0.4995998398718719,0.0,0.021721732168342254,0.0,0.09991996797437439,0.0,0.004344346433668451,0.0,25
26taxa,50000,astral-bp,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26taxa,100000,astral-bp,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
Palaeognathae,10,astral-bp,0.5,5.72,1.08,0.572,0.19928571428571426,1.3422369388450013,0.8908422980528035,0.13422369388450012,0.1650753967777003,0.26844738776900023,0.1781684596105607,0.026844738776900023,0.03301507935554006,25
Palaeognathae,50,astral-bp,0.5,3.36,1.2,0.336,0.1487142857142857,0.8428523002282191,0.8,0.08428523002282191,0.09966290373783158,0.16857046004564383,0.16,0.016857046004564384,0.019932580747566316,25
Palaeognathae,100,astral-bp,0.5,2.76,1.16,0.276,0.13309523809523807,0.7631513611335566,0.7838367176906171,0.07631513611335565,0.08639617070170043,0.15263027222671133,0.15676734353812344,0.01526302722267113,0.017279234140340084,25
Palaeognathae,500,astral-bp,0.5,1.44,0.72,0.14400000000000002,0.07655555555555556,0.8522910301065008,0.664529909033446,0.08522910301065006,0.0686648687287092,0.17045820602130016,0.1329059818066892,0.017045820602130012,0.013732973745741839,25
Palaeognathae,1000,astral-bp,0.5,1.48,0.6,0.14800000000000002,0.0631111111111111,0.64,0.6324555320336759,0.064,0.0653741369180334,0.128,0.12649110640673517,0.0128,0.01307482738360668,25
Palaeognathae,5000,astral-bp,0.5,0.72,0.36,0.07200000000000001,0.036444444444444446,0.6013318551349164,0.5571355310873648,0.06013318551349163,0.05626392831672554,0.12026637102698327,0.11142710621747295,0.012026637102698325,0.011252785663345108,25
Palaeognathae,10000,astral-bp,0.5,0.64,0.24,0.064,0.024,0.48,0.4270831300812525,0.048,0.04270831300812525,0.096,0.0854166260162505,0.009600000000000001,0.00854166260162505,25
Palaeognathae,50000,astral-bp,0.5,0.16,0.08,0.016,0.008,0.36660605559646714,0.2712931993250107,0.036660605559646724,0.027129319932501072,0.07332121111929343,0.054258639865002144,0.007332121111929345,0.005425863986500214,25
Palaeognathae,100000,astral-bp,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
Palaeognathae,10,astral-bp,0.6,5.84,0.68,0.584,0.12723809523809526,1.3763720427268202,0.8352245207128439,0.137637204272682,0.15510230695764254,0.27527440854536406,0.16704490414256878,0.0275274408545364,0.03102046139152851,25
Palaeognathae,50,astral-bp,0.6,3.72,0.64,0.37200000000000005,0.08587301587301586,0.7756287771866126,0.6248199740725323,0.07756287771866127,0.08425701242093316,0.15512575543732252,0.12496399481450646,0.015512575543732254,0.01685140248418663,25
