NRET,BIPA,BIPB,REPL,BRLN_TRUE,BRLN_MAP_GT,EGTT_MAP_GT,AERR_MAP_GT,PERR_MAP_GT,BRLN_MLE_GT,EGTT_MLE_GT,AERR_MLE_GT,PERR_MLE_GT,BRLN_MLE_RI,EGTT_MLE_RI,AERR_MLE_RI,PERR_MLE_RI,Q1,Q2,Q3,EN,PP
10,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",20,3.0872,-0.0,0.0,3.0872,100.0,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,0.5,0.511966
10,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",21,3.0872,,,,,,,,,,,,,,,,,
10,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",22,3.0872,0.105361,0.0,2.9818390000000004,96.5871663643431,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,0.666667,0.5671109999999999
10,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",23,3.0872,0.798508,0.0,2.288692,74.13487950246179,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,2.333333,0.9046270000000001
10,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",24,3.0872,,,,,,,,,,,,,,,,,
10,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",25,3.0872,0.847298,0.0,2.2399020000000003,72.55448302669085,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,2.5,0.919623
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",1,3.0872,2.027521,0.0,1.059679,34.32492225965276,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,10.392857000000001,0.999985
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",2,3.0872,1.955389,0.0,1.1318110000000001,36.66140839595751,4.169246,1.0,1.082046,35.04942990412024,3.041357,0.0,0.04584300000000008,1.4849378077222104,0.989691,0.010309,0.0,10.777778,0.999985
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",3,3.0872,1.7346009999999998,0.0,1.3525990000000003,43.81313164032134,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,7.5,0.999648
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",4,3.0872,2.2772669999999997,0.0,0.8099330000000005,26.235196942213022,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,13.625,1.0
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",5,3.0872,2.299246,0.0,0.787954,25.523257320549362,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,13.95,1.0
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",6,3.0872,1.921813,0.0,1.1653870000000002,37.74899585384815,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,9.25,0.999949
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",7,3.0872,1.483287,0.0,1.6039130000000001,51.953647317958016,2.475604,0.0,0.611596,19.81070225447007,1.7999720000000001,0.0,1.287228,41.69564654055455,0.943925,0.018692,0.037383,8.916667,0.999616
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",8,3.0872,2.140066,0.0,0.9471340000000001,30.679385851256807,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,11.75,0.9999969999999999
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",9,3.0872,2.036882,0.0,1.0503180000000003,34.021702513604566,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,10.5,0.9999870000000001
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",10,3.0872,2.280112,0.0,0.8070880000000002,26.14304223892201,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,13.666667000000002,1.0
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",11,3.0872,1.6314170000000001,0.0,1.455783,47.155448302669086,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,6.6666669999999995,0.9991209999999999
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",12,3.0872,2.049228,0.0,1.0379720000000003,33.62179321067635,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,10.642857000000001,0.9999889999999999
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",13,3.0872,1.965328,0.0,1.1218720000000002,36.339466182948954,3.6198870000000003,1.0,0.5326870000000001,17.25469681264577,2.626923,0.0,0.46027700000000005,14.909205752785695,0.982143,0.017856999999999998,0.0,12.0,0.999994
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",14,3.0872,1.709068,0.0,1.3781320000000001,44.6401917595232,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,7.285714,0.999555
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",15,3.0872,2.034809,0.0,1.052391,34.0888507385333,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,10.476189999999999,0.9999870000000001
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",16,3.0872,1.99243,0.0,1.0947700000000002,35.4615833117388,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,10.0,0.999977
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",17,3.0872,2.285778,0.0,0.8014220000000001,25.959510235812388,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,13.75,1.0
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",18,3.0872,1.349927,0.0,1.737273,56.27341927960612,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,4.785714,0.993093
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",19,3.0872,1.997468,0.0,1.0897320000000001,35.298393366157036,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,10.055556,0.9999790000000001
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",20,3.0872,1.421232,0.0,1.6659680000000001,53.9637211712879,2.8928380000000002,0.0,0.19436199999999992,6.295737237626326,2.09586,0.0,0.9913400000000001,32.111298263798915,0.9630540000000001,0.036946,0.0,6.766667,0.998239
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",21,3.0872,1.637609,0.0,1.449591,46.954878206789324,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,6.714286,0.999166
50,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",22,3.0872,1.7717189999999998,0.0,1.3154810000000003,42.61081238662867,inf,1.0,inf,inf,inf,1.0,inf,inf,1.0,0.0,0.0,7.821428999999999,0.9997530000000001
