MODL,NRET,MTHD,THRC,AVG_FNR,AVG_FPR,STD_FNR,STD_FPR,SE_FNR,SE_FPR,NREP
Palaeognathae,100,camin-sokal-strict,0.0,0.276,0.152,0.05122499389946278,0.10244998779892557,0.010244998779892555,0.020489997559785113,25
Palaeognathae,100,dollo-strict,0.0,0.26,0.132,0.1019803902718557,0.09682974749528164,0.020396078054371138,0.019365949499056328,25
Palaeognathae,100,astrid-bp,0.0,0.23600000000000002,0.23600000000000002,0.07939773296511683,0.07939773296511683,0.015879546593023368,0.015879546593023368,25
Palaeognathae,100,astral-bp,0.0,0.24400000000000002,0.24400000000000002,0.08039900496896712,0.08039900496896712,0.016079800993793424,0.016079800993793424,25
Palaeognathae,100,mdc-bp,0.0,0.248,0.248,0.07547184905645282,0.07547184905645282,0.015094369811290564,0.015094369811290564,25
Palaeognathae,100,mdc-bp-ur,0.0,0.248,0.244,0.07547184905645282,0.08039900496896712,0.015094369811290564,0.016079800993793424,25
Palaeognathae,500,parsimony-strict,0.0,0.16399999999999998,0.11600000000000002,0.0842852300228219,0.09243376006633075,0.01685704600456438,0.01848675201326615,25
Palaeognathae,500,camin-sokal-strict,0.0,0.176,0.14,0.06499230723708768,0.08944271909999159,0.012998461447417536,0.01788854381999832,25
Palaeognathae,500,dollo-strict,0.0,0.17200000000000004,0.128,0.07222188034107116,0.09173875952943772,0.014444376068214231,0.018347751905887544,25
Palaeognathae,500,astrid-bp,0.0,0.136,0.136,0.0842852300228219,0.0842852300228219,0.01685704600456438,0.01685704600456438,25
Palaeognathae,500,astral-bp,0.0,0.14,0.14,0.08485281374238571,0.08485281374238571,0.016970562748477143,0.016970562748477143,25
Palaeognathae,500,mdc-bp,0.0,0.16,0.16,0.0565685424949238,0.0565685424949238,0.01131370849898476,0.01131370849898476,25
Palaeognathae,500,mdc-bp-ur,0.0,0.16,0.16,0.0565685424949238,0.0565685424949238,0.01131370849898476,0.01131370849898476,25
Palaeognathae,1000,parsimony-strict,0.0,0.14,0.10400000000000001,0.07483314773547883,0.07735631842325487,0.014966629547095767,0.015471263684650974,25
Palaeognathae,1000,camin-sokal-strict,0.0,0.172,0.12,0.07222188034107115,0.06928203230275509,0.01444437606821423,0.013856406460551019,25
Palaeognathae,1000,dollo-strict,0.0,0.136,0.124,0.07418894796396563,0.08138795979750321,0.014837789592793128,0.016277591959500643,25
Palaeognathae,1000,astrid-bp,0.0,0.12400000000000003,0.12400000000000003,0.0708801805866774,0.0708801805866774,0.014176036117335481,0.014176036117335481,25
Palaeognathae,1000,astral-bp,0.0,0.11600000000000002,0.11600000000000002,0.08333066662399864,0.08333066662399864,0.01666613332479973,0.01666613332479973,25
Palaeognathae,1000,mdc-bp,0.0,0.12800000000000003,0.12800000000000003,0.06013318551349164,0.06013318551349164,0.012026637102698327,0.012026637102698327,25
Palaeognathae,1000,mdc-bp-ur,0.0,0.12800000000000003,0.12800000000000003,0.06013318551349164,0.06013318551349164,0.012026637102698327,0.012026637102698327,25
Palaeognathae,5000,parsimony-strict,0.0,0.09200000000000001,0.08800000000000001,0.056,0.051536394906900505,0.0112,0.010307278981380102,25
Palaeognathae,5000,camin-sokal-strict,0.0,0.10800000000000003,0.10800000000000003,0.027129319932501075,0.027129319932501075,0.005425863986500215,0.005425863986500215,25
Palaeognathae,5000,dollo-strict,0.0,0.07600000000000001,0.07200000000000001,0.06499230723708768,0.0664529909033446,0.012998461447417536,0.01329059818066892,25
Palaeognathae,5000,astrid-bp,0.0,0.056000000000000015,0.056000000000000015,0.06374950980203692,0.06374950980203692,0.012749901960407383,0.012749901960407383,25
Palaeognathae,5000,astral-bp,0.0,0.05600000000000001,0.05600000000000001,0.06374950980203692,0.06374950980203692,0.012749901960407383,0.012749901960407383,25
Palaeognathae,5000,mdc-bp,0.0,0.10800000000000003,0.10800000000000003,0.027129319932501075,0.027129319932501075,0.005425863986500215,0.005425863986500215,25
Palaeognathae,5000,mdc-bp-ur,0.0,0.10800000000000003,0.10800000000000003,0.027129319932501075,0.027129319932501075,0.005425863986500215,0.005425863986500215,25
Palaeognathae,10000,parsimony-strict,0.0,0.09600000000000002,0.09200000000000001,0.04454211490264018,0.048332183894378294,0.008908422980528036,0.009666436778875659,25
Palaeognathae,10000,camin-sokal-strict,0.0,0.10000000000000002,0.10000000000000002,1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628915e-18,2.7755575615628915e-18,25
Palaeognathae,10000,dollo-strict,0.0,0.07600000000000001,0.06000000000000001,0.0708801805866774,0.0632455532033676,0.014176036117335481,0.01264911064067352,25
Palaeognathae,10000,astrid-bp,0.0,0.04000000000000001,0.04000000000000001,0.04898979485566357,0.04898979485566357,0.009797958971132715,0.009797958971132715,25
Palaeognathae,10000,astral-bp,0.0,0.036000000000000004,0.036000000000000004,0.048,0.048,0.009600000000000001,0.009600000000000001,25
Palaeognathae,10000,mdc-bp,0.0,0.10000000000000002,0.10000000000000002,1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628915e-18,2.7755575615628915e-18,25
Palaeognathae,10000,mdc-bp-ur,0.0,0.10000000000000002,0.10000000000000002,1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628915e-18,2.7755575615628915e-18,25
Palaeognathae,50000,parsimony-strict,0.0,0.084,0.08,0.03666060555964672,0.04,0.007332121111929343,0.008,25
Palaeognathae,50000,camin-sokal-strict,0.0,0.10000000000000002,0.10000000000000002,1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628915e-18,2.7755575615628915e-18,25
Palaeognathae,50000,dollo-strict,0.0,0.032,0.032,0.0466476151587624,0.0466476151587624,0.00932952303175248,0.00932952303175248,25
Palaeognathae,50000,astrid-bp,0.0,0.008,0.008,0.027129319932501072,0.027129319932501072,0.005425863986500214,0.005425863986500214,25
Palaeognathae,50000,astral-bp,0.0,0.008,0.008,0.027129319932501072,0.027129319932501072,0.005425863986500214,0.005425863986500214,25
Palaeognathae,50000,mdc-bp,0.0,0.10000000000000002,0.10000000000000002,1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628915e-18,2.7755575615628915e-18,25
Palaeognathae,50000,mdc-bp-ur,0.0,0.10000000000000002,0.10000000000000002,1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628915e-18,2.7755575615628915e-18,25
