CLADE,REPL1,REPL2,REPL3,REPL4,REPL5,REPL6,REPL7,REPL8,REPL9,REPL10,REPL11,REPL12,REPL13,REPL14,REPL15,REPL16,REPL17,REPL18,REPL19,REPL20,REPL21,REPL22,REPL23,REPL24,REPL25
"aptHaa,aptOwe,aptRow,casCas,cryCin,droNov,eudEle,notPer,tinGut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6205,NA,0.6845,NA,NA,NA,NA,NA,0.5519
"aptHaa,aptOwe,aptRow,cryCin,eudEle,notPer,rheAme,rhePen,tinGut",NA,0.4320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aptHaa,aptOwe,aptRow,cryCin,eudEle,notPer,tinGut",NA,0.5446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5455,NA,NA,NA,NA,NA,NA,NA,NA
"cryCin,eudEle,notPer,rheAme,rhePen,tinGut",0.4796,NA,NA,0.4133,NA,NA,NA,0.4579,NA,NA,NA,0.3707,NA,NA,NA,NA,NA,0.7782,NA,0.8275,NA,0.5675,NA,0.5257,NA
